상권_코드,행정동_코드,자치구_코드,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,주중_매출_금액,주말_매출_금액,상권_변화_지표,총_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,읍면동명,계,경쟁업체수,지하철_총승객수,임대료
3110002,11110570,11110,CS200001,일반교습학원,1452055.0,1452055.0,0.0,HH,426.0,119.0,120.0,103.0,무악동,7699.0,8.0,4781.0,73.52000000000001
3110002,11110570,11110,CS200003,예술학원,3570306.0,3570306.0,0.0,HH,426.0,119.0,120.0,103.0,무악동,7699.0,6.0,4781.0,73.52000000000001
3110002,11110570,11110,CS200028,미용실,34132581.0,24688882.0,9443699.0,HH,426.0,119.0,120.0,103.0,무악동,7699.0,3.0,4781.0,73.52000000000001
3110002,11110570,11110,CS300018,의약품,4197919202.0,4057105798.0,140813404.0,HH,426.0,119.0,120.0,103.0,무악동,7699.0,1.0,4781.0,73.52000000000001
3110003,11110550,11110,CS100001,한식음식점,128899771.0,106520744.0,22379027.0,HH,1572.0,204.0,429.0,499.0,부암동,8872.0,14.0,43409.12321359598,73.52000000000001
3110003,11110550,11110,CS100005,제과점,106504053.0,69925792.0,36578261.0,HH,1572.0,204.0,429.0,499.0,부암동,8872.0,2.0,43409.12321359598,73.52000000000001
3110003,11110550,11110,CS100008,분식전문점,30711002.0,27717553.0,2993449.0,HH,1572.0,204.0,429.0,499.0,부암동,8872.0,5.0,43409.12321359598,73.52000000000001
3110003,11110550,11110,CS100009,호프-간이주점,121425874.0,72667043.0,48758831.0,HH,1572.0,204.0,429.0,499.0,부암동,8872.0,6.0,43409.12321359598,73.52000000000001
3110003,11110550,11110,CS100010,커피-음료,26158110.0,17139733.0,9018377.0,HH,1572.0,204.0,429.0,499.0,부암동,8872.0,6.0,43409.12321359598,73.52000000000001
3110003,11110550,11110,CS200001,일반교습학원,164484142.0,141980420.0,22503722.0,HH,1572.0,204.0,429.0,499.0,부암동,8872.0,1.0,43409.12321359598,73.52000000000001
3110003,11110550,11110,CS200003,예술학원,73685876.0,73685876.0,0.0,HH,1572.0,204.0,429.0,499.0,부암동,8872.0,1.0,43409.12321359598,73.52000000000001
3110003,11110550,11110,CS200005,스포츠 강습,171649484.0,171649484.0,0.0,HH,1572.0,204.0,429.0,499.0,부암동,8872.0,1.0,43409.12321359598,73.52000000000001
3110003,11110550,11110,CS200024,스포츠클럽,25566492.0,20924957.0,4641535.0,HH,1572.0,204.0,429.0,499.0,부암동,8872.0,2.0,43409.12321359598,73.52000000000001
3110003,11110550,11110,CS200028,미용실,80996758.0,39601457.0,41395301.0,HH,1572.0,204.0,429.0,499.0,부암동,8872.0,7.0,43409.12321359598,73.52000000000001
3110003,11110550,11110,CS200031,세탁소,1752337.0,1483645.0,268692.0,HH,1572.0,204.0,429.0,499.0,부암동,8872.0,2.0,43409.12321359598,73.52000000000001
3110003,11110550,11110,CS300002,편의점,188229302.0,133010024.0,55219278.0,HH,1572.0,204.0,429.0,499.0,부암동,8872.0,3.0,43409.12321359598,73.52000000000001
3110003,11110550,11110,CS300010,반찬가게,2521626.0,2521626.0,0.0,HH,1572.0,204.0,429.0,499.0,부암동,8872.0,1.0,43409.12321359598,73.52000000000001
3110003,11110550,11110,CS300011,일반의류,449066791.0,405337435.0,43729356.0,HH,1572.0,204.0,429.0,499.0,부암동,8872.0,6.0,43409.12321359598,73.52000000000001
3110004,11110580,11110,CS100001,한식음식점,566113085.0,317391459.0,248721626.0,HH,57.0,11.0,16.0,16.0,교남동,9470.0,6.0,43409.12321359598,73.52000000000001
3110004,11110580,11110,CS100010,커피-음료,10877658.0,6351606.0,4526052.0,HH,57.0,11.0,16.0,16.0,교남동,9470.0,3.0,43409.12321359598,73.52000000000001
3110004,11110580,11110,CS200028,미용실,13738373.0,10471007.0,3267366.0,HH,57.0,11.0,16.0,16.0,교남동,9470.0,1.0,43409.12321359598,73.52000000000001
3110035,11110710,11110,CS100001,한식음식점,385773191.0,265091400.0,120681791.0,HL,263.0,43.0,52.0,61.0,숭인제2동,10237.0,9.0,43409.12321359598,73.52000000000001
3110035,11110710,11110,CS100007,치킨전문점,35767706.0,24701923.0,11065783.0,HL,263.0,43.0,52.0,61.0,숭인제2동,10237.0,3.0,43409.12321359598,73.52000000000001
3110035,11110710,11110,CS100008,분식전문점,10047378.0,7573239.0,2474139.0,HL,263.0,43.0,52.0,61.0,숭인제2동,10237.0,3.0,43409.12321359598,73.52000000000001
3110035,11110710,11110,CS100009,호프-간이주점,132207082.0,92788883.0,39418199.0,HL,263.0,43.0,52.0,61.0,숭인제2동,10237.0,1.0,43409.12321359598,73.52000000000001
3110035,11110710,11110,CS100010,커피-음료,62675704.0,43670257.0,19005447.0,HL,263.0,43.0,52.0,61.0,숭인제2동,10237.0,4.0,43409.12321359598,73.52000000000001
3110035,11110710,11110,CS200037,노래방,48482054.0,28116942.0,20365112.0,HL,263.0,43.0,52.0,61.0,숭인제2동,10237.0,10.139166621628926,43409.12321359598,73.52000000000001
